id,timestamp,inputDataHash,processingSteps,decisionOutcome,featureVector,contextMetadata,decision,hasProcessingSteps,inputLength,outputLength,processingStepsCount,processingTime,riskScore
audit_1763786949402_81a6yjrdu,2025-11-22T04:49:09.402Z,9e22d35f9503c3aba1cc0446fb15c2ba80ada5a5d309738ecb0ddca061715ff9,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,3,0
audit_1763786949395_qbpiy41uw,2025-11-22T04:49:09.395Z,869851ff2655ece021d09bbe898c07a28108de1f66a9a66bfd147222551fba56,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,2,0
audit_1763786949387_1sdhtfa7x,2025-11-22T04:49:09.387Z,982085196eb919b185903602991ed889ff8e8d7643e0ca6b6c523c9c3159a48b,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,2,0
audit_1763786949380_rvzq1c0h2,2025-11-22T04:49:09.380Z,2b2af5d00e7a9b28f371148457bd7bb2d55fa0b78eacca4b2f1f12e8f83a25ea,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,2,0
audit_1763786949372_xx67bqz3,2025-11-22T04:49:09.372Z,7fce33d097c77eae23e0aea11dbbffcb2a337595e122df0ced3ad4400d85cee5,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,4,0
audit_1763786949353_cobyb09rg,2025-11-22T04:49:09.353Z,bda238306680e6c7d4082ce0de32fd70a6ea80efb2b65dc5609abdefc00d483b,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,2,0
audit_1763786949344_opk28hzoh,2025-11-22T04:49:09.344Z,2a59b7815a35ed677bb6054577bf377ba5fc6f15bf0c679c54ed4445597fdf75,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,3,0
audit_1763786949334_jcxe33a35,2025-11-22T04:49:09.334Z,174e1ce24e92bac0a05e5838eda0f2b6b225119a5cb1897ccb5cb1e72b51f768,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,4,0
audit_1763786949325_b9op9y2de,2025-11-22T04:49:09.325Z,8a794e5630eb86e4b44c172ee798bdfa6103383b161de3e83942414e5214f414,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,2,0
audit_1763786949314_nrwk1o2of,2025-11-22T04:49:09.314Z,dd3f62bf2a334764a5ac14081d7f2524ae4dbde3edeb3df7e292916baab371b8,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,2,0
audit_1763786949298_z22z1nd3a,2025-11-22T04:49:09.298Z,529d00d6b7e58f74990c77bfb43aff1100fe62da5a886c8964a1f9972c61a192,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,3,0
audit_1763786949290_x5yfsa74l,2025-11-22T04:49:09.290Z,cd1a70f671b644c400428a7a0d3fffe3aa82f34f1e35f16a4d3d223307843f27,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,2,0
audit_1763786949283_7qp7pfrx9,2025-11-22T04:49:09.283Z,583eef5051485c7c09510173c1b4de42f95f402a211ba0932c8fb00a8f7860d7,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,3,0
audit_1763786949268_p826cg5du,2025-11-22T04:49:09.268Z,7763fd66341afcbe233b03f0125c426104d9450b070b328b29629a79a63b10fa,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,6,0
audit_1763786949250_2wpz3wydy,2025-11-22T04:49:09.250Z,53a51e705b16ce9b378fa6439293c3f7b2efd636ed5438a81e75a6103cb85270,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,8,0
audit_1763786949214_qzf2s60eg,2025-11-22T04:49:09.214Z,b2ab9785bbe169fce75214bfdb23e4f0d2402d63bbf8e3136873344477d85242,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,2,0
audit_1763786949206_oyfev967h,2025-11-22T04:49:09.206Z,936f5e6115141e5882cc160d25e92efc6c8a93af2279ff5db66e336bd1d8da2b,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,3,0
audit_1763786949191_z5pzltvul,2025-11-22T04:49:09.191Z,fef0218db07bce1ea53fde4cd80a42fca35d0a89587b5b3fc9cbf9e612fcb676,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,2,0
audit_1763786949179_ma7ctbp0b,2025-11-22T04:49:09.179Z,74d04aa2193a624620077ffe6b67ad39f3c9e96d3636b3d261aaf239ebc29320,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,3,0
audit_1763786949166_yzkdvgmrz,2025-11-22T04:49:09.166Z,82cf912e5297c4bd2a735e59b49930e15b3c2dda4aa064c5aeedd3c561959db1,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,7,0
audit_1763786949122_p2nlz5fj3,2025-11-22T04:49:09.122Z,c57c7e196a09b779f88da82fd6ea1342f41d83cd259913a0e56128c20ac42dc7,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,3,0
